product_code,description,batch_code
RC800GNK,PANA FM RADIO DUAL ALARM MEMORY BACK-UP,151202756
RCD8GNK,PANA DAB+ CLOCK RADIO BATT CHARGE,
RCD8GNK,PANA DAB+ CLOCK RADIO BATT CHARGE,0052120273
,PANA DAB+ CLOCK RADIO BATT CHARGE,9923054
RF2400DGNS,PANA 770MW PORTABLE FM/AM RADIO,
RF2400DGNS,PANA 770MW PORTABLE FM/AM RADIO,0057124004165
,PANA 770MW PORTABLE FM/AM RADIO,15124108
RXD500GSK,PANA 20W CD FM RADIO PLAYER,
RXD500GSK,PANA 20W CD FM RADIO PLAYER,0052121167
,PANA 20W CD FM RADIO PLAYER,15122253
RXDU10GNK,PANA AM/FM CD & USB PORTABLE,
RXDU10GNK,PANA AM/FM CD & USB PORTABLE,0052121158
,PANA AM/FM CD & USB PORTABLE,15122213
SCHC200GNK,PANA 20W AM FM MICRO SYSTEM,
SCHC200GNK,PANA 20W AM FM MICRO SYSTEM,0057124004164
,PANA 20W AM FM MICRO SYSTEM,5211815756
SCPM250GNS,PANA CD MICRO SYSTEM,
SCPM250GNS,PANA CD MICRO SYSTEM,0057124004166
,PANA CD MICRO SYSTEM,920242181
SCPM700GNS,PANASONIC 80W CD MICRO SYS W/ BLUETOOTH,
SCPM700GNS,PANASONIC 80W CD MICRO SYS W/ BLUETOOTH,0057124004168
